"dataset.train","dataset.test","nsamples.test","strata","pearson","spearman","cor_success","rmse","mae","coeff_det","ndcg10","ndcg20","ndcg50","ndcg100","time_per_fold","nsamples.train","regressor","markers","extra_covariates","repetition","folds"
"Cauline Leaf number (CL) split=9 train","Cauline Leaf number (CL) split=9 test",90,"no_strata",0.610648804192103,0.610282481491165,1,3.36408265845973,2.51043245456696,0.329452025864402,0.78884338942376,0.814077075870035,0.874829057302795,0.933901665286831,2.21500000008382,814,"rrBLUP-kin",814,"",5,0
"DaysToFlowering1 split=1 train","DaysToFlowering1 split=1 test",94,"no_strata",0.85182962247574,0.843369665764495,1,14.0229748489427,11.0207012724044,0.723267929682886,0.96427910493434,0.929689967654224,0.952214702304024,0.983012987369741,2.45900000003166,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=1 train","DaysToFlowering1 split=1 test",94,"no_strata",0.85182962247574,0.843369665764495,1,14.0229748489427,11.0207012724044,0.723267929682886,0.96427910493434,0.929689967654224,0.952214702304024,0.983012987369741,2.46100000012666,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=1 train","DaysToFlowering1 split=1 test",94,"no_strata",0.85182962247574,0.843369665764495,1,14.0229748489427,11.0207012724044,0.723267929682886,0.96427910493434,0.929689967654224,0.952214702304024,0.983012987369741,2.45099999988452,842,"rrBLUP-kin",842,"",3,0
"DaysToFlowering1 split=1 train","DaysToFlowering1 split=1 test",94,"no_strata",0.85182962247574,0.843369665764495,1,14.0229748489427,11.0207012724044,0.723267929682886,0.96427910493434,0.929689967654224,0.952214702304024,0.983012987369741,2.45399999991059,842,"rrBLUP-kin",842,"",4,0
"DaysToFlowering1 split=1 train","DaysToFlowering1 split=1 test",94,"no_strata",0.85182962247574,0.843369665764495,1,14.0229748489427,11.0207012724044,0.723267929682886,0.96427910493434,0.929689967654224,0.952214702304024,0.983012987369741,2.44900000002235,842,"rrBLUP-kin",842,"",5,0
"DaysToFlowering1 split=10 train","DaysToFlowering1 split=10 test",93,"no_strata",0.827905846052591,0.811234044387475,1,14.4216478103802,10.9531941425388,0.677423705858707,0.909633599027392,0.906945500928573,0.936394447048216,0.976042525154835,2.51900000008754,843,"rrBLUP-kin",843,"",1,0
"DaysToFlowering1 split=10 train","DaysToFlowering1 split=10 test",93,"no_strata",0.827905846052591,0.811234044387475,1,14.4216478103802,10.9531941425388,0.677423705858707,0.909633599027392,0.906945500928573,0.936394447048216,0.976042525154835,2.47799999988638,843,"rrBLUP-kin",843,"",2,0
"DaysToFlowering1 split=10 train","DaysToFlowering1 split=10 test",93,"no_strata",0.827905846052591,0.811234044387475,1,14.4216478103802,10.9531941425388,0.677423705858707,0.909633599027392,0.906945500928573,0.936394447048216,0.976042525154835,2.52399999997579,843,"rrBLUP-kin",843,"",3,0
"DaysToFlowering1 split=10 train","DaysToFlowering1 split=10 test",93,"no_strata",0.827905846052591,0.811234044387475,1,14.4216478103802,10.9531941425388,0.677423705858707,0.909633599027392,0.906945500928573,0.936394447048216,0.976042525154835,2.46699999994598,843,"rrBLUP-kin",843,"",4,0
"DaysToFlowering1 split=10 train","DaysToFlowering1 split=10 test",93,"no_strata",0.827905846052591,0.811234044387475,1,14.4216478103802,10.9531941425388,0.677423705858707,0.909633599027392,0.906945500928573,0.936394447048216,0.976042525154835,2.45999999996275,843,"rrBLUP-kin",843,"",5,0
"DaysToFlowering1 split=2 train","DaysToFlowering1 split=2 test",94,"no_strata",0.79948773913796,0.798461094372589,1,17.7597540437762,13.941067827375,0.54489005588549,0.911096576372957,0.911121874829123,0.947645960406973,0.976879519834689,2.45299999997951,842,"rrBLUP-kin",842,"",1,0
"DaysToFlowering1 split=2 train","DaysToFlowering1 split=2 test",94,"no_strata",0.79948773913796,0.798461094372589,1,17.7597540437762,13.941067827375,0.54489005588549,0.911096576372957,0.911121874829123,0.947645960406973,0.976879519834689,2.44900000002235,842,"rrBLUP-kin",842,"",2,0
"DaysToFlowering1 split=2 train","DaysToFlowering1 split=2 test",94,"no_strata",0.79948773913796,0.798461094372589,1,17.7597540437762,13.941067827375,0.54489005588549,0.911096576372957,0.911121874829123,0.947645960406973,0.976879519834689,2.44400000013411,842,"rrBLUP-kin",842,"",3,0
